"Cluster","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Infection (all)","MF","GO:0003735","structural constituent of ribosome",35,-0.6818866663266655,-2.4957590299858405,1.2057301104531797e-7,5.4402168688109866e-5,4.836884546893979e-5,1965,"tags=69%, list=18%, signal=56%","103820088/103815291/103826008/103817860/103813272/103819445/103817571/103812360/103824076/103824232/103812957/103812989/103814742/103821868/103812879/103824808/103824148/103814016/103815368/103816764/103820545/103824530/103816293/103820125"
"Infection (all)","BP","GO:0002376","immune system process",36,0.6681723456875117,2.370463859051774,2.914401894005886e-7,5.4402168688109866e-5,4.836884546893979e-5,1901,"tags=53%, list=18%, signal=44%","103824282/103820351/103823970/103821712/103816081/103813055/103815911/103813313/103812980/103821247/103819051/103814184/103812309/103816444/103812959/103812985/103825066/103819164/103813115"
"Infection (all)","BP","GO:0006955","immune response",31,0.6943397249569283,2.359112940376856,2.1320734903148343e-7,5.4402168688109866e-5,4.836884546893979e-5,1721,"tags=55%, list=16%, signal=46%","103824282/103820351/103823970/103821712/103816081/103813055/103815911/103813313/103812980/103819051/103814184/103812309/103816444/103812959/103812985/103825066/103819164"
"Infection (all)","CC","GO:0005840","ribosome",40,-0.6344092268183132,-2.40105511491328,5.197705893536771e-7,7.27678825095148e-5,6.469776020112875e-5,1965,"tags=62%, list=18%, signal=51%","103820088/103815291/103826008/103817860/103813272/103819445/103813400/103817571/103812360/103824076/103824232/103812957/103812989/103814742/103821868/103812879/103824808/103824148/103814016/103815368/103816764/103820545/103824530/103816293/103820125"
"Infection (all)","BP","GO:0043043","peptide biosynthetic process",53,-0.5671116051997589,-2.2889790162795265,2.8126766597158334e-6,2.9365335029916083e-4,2.610865313750058e-4,2362,"tags=55%, list=22%, signal=43%","103820009/103820195/103813003/103820088/103815291/103826008/103817860/103812407/103827119/103813272/103819445/103817571/103812360/103824076/103824232/103812957/103812989/103814742/103821868/103814085/103824808/103813219/103814016/103815368/103816764/103820545/103824530/103816293/103820125"
"Infection (all)","BP","GO:0006412","translation",52,-0.568303022121143,-2.279138097098861,3.198421769445798e-6,2.9365335029916083e-4,2.610865313750058e-4,2311,"tags=54%, list=21%, signal=43%","103820195/103813003/103820088/103815291/103826008/103817860/103812407/103827119/103813272/103819445/103817571/103812360/103824076/103824232/103812957/103812989/103814742/103821868/103814085/103824808/103813219/103814016/103815368/103816764/103820545/103824530/103816293/103820125"
"Infection (all)","MF","GO:0005198","structural molecule activity",66,-0.515150064524338,-2.1717276822801646,3.6706668787395104e-6,2.9365335029916083e-4,2.610865313750058e-4,1965,"tags=53%, list=18%, signal=44%","103820088/103821069/103815291/103826008/103817860/103813272/103819445/103817571/103812360/103818740/103813332/103824076/103824232/103812957/103812989/103814742/103821868/103812879/103824808/103813337/103824148/103814016/103815368/103816764/103820545/103824530/103816293/103820125/103813361/103813354/103815242/103825220/103813347/103826578/103813335"
"Infection (all)","CC","GO:1990904","ribonucleoprotein complex",83,-0.4756324028157664,-2.13198747478791,4.260363216339232e-6,2.982254251437462e-4,2.6515155280637585e-4,2431,"tags=42%, list=23%, signal=33%","103817615/103817064/103813006/103820110/103820088/103819865/103813752/103815291/103826008/103817860/103820374/103823946/103813272/103819445/103817571/103812360/103824076/103824232/103812989/103814742/103821868/103814085/103812879/103824808/103813219/103824148/103814016/103815368/103817743/103816764/103820545/103824530/103818036/103816293/103820125"
"Infection (all)","BP","GO:0006518","peptide metabolic process",58,-0.5287818383559906,-2.1804320518357567,5.709942777184231e-6,3.552853283581299e-4,3.158833840477358e-4,2362,"tags=52%, list=22%, signal=41%","103820009/103820195/103813003/103816976/103820088/103815291/103826008/103817860/103812407/103827119/103813272/103819445/103817571/103812360/103824076/103824232/103812957/103812989/103814742/103821868/103814085/103824808/103813219/103814016/103815368/103816764/103820545/103824530/103816293/103820125"
"Infection (all)","BP","GO:0006952","defense response",22,0.7267906339149341,2.274442890556853,6.475760126562308e-6,3.6264256708748926e-4,3.224246884067339e-4,1727,"tags=64%, list=16%, signal=54%","103824282/103820351/103822351/103813055/103815911/103820948/103812980/103819051/103816444/103812959/103815624/103812985/103823962/103812645"
